cpa_id,cluster
13944,1
13945,1
13946,1
13953,1
13955,1
13957,1
13959,1
13960,1
13961,1
13965,1
13970,1
13971,1
13975,1
13976,1
13977,1
13978,1
13981,1
13983,1
13984,1
13986,1
13990,1
13995,1
14003,1
14008,1
14010,1
14011,1
14013,1
14018,1
14021,1
14025,1
14030,1
14036,1
14038,1
14042,1
14044,1
14048,1
14056,1
14062,1
14063,1
14064,1
14069,1
14070,1
14076,1
14078,1
14080,1
14081,1
14083,1
14084,1
14086,1
14087,1
14090,1
14091,1
14092,1
14093,1
14096,1
14097,1
14098,1
14103,1
14104,1
14105,1
14106,1
14112,1
14113,1
14115,1
14118,1
14125,1
14131,1
14135,1
14136,1
14140,1
14142,1
14143,1
14147,1
14150,1
14151,1
14152,1
14153,1
14156,1
14158,1
14161,1
14163,1
14164,1
14167,1
14169,1
14177,1
14182,1
14186,1
14190,1
14192,1
14194,1
14196,1
14197,1
14202,1
14205,1
14212,1
14213,1
14220,1
14222,1
14223,1
14226,1
14230,1
14233,1
14237,1
14238,1
14244,1
14246,1
14248,1
14252,1
14258,1
14261,1
14263,1
14265,1
14268,1
14271,1
14272,1
14275,1
14278,1
14285,1
14292,1
14298,1
14301,1
14303,1
14304,1
14308,1
14313,1
14318,1
14319,1
14321,1
14323,1
14326,1
14327,1
14329,1
14337,1
14339,1
14340,1
14342,1
14344,1
14354,1
14356,1
14363,1
14373,1
14376,1
14377,1
14389,1
13943,2
13950,2
13952,2
13962,2
13966,2
13968,2
13987,2
13988,2
13993,2
13996,2
13997,2
14000,2
14002,2
14004,2
14014,2
14023,2
14024,2
14029,2
14033,2
14034,2
14035,2
14037,2
14046,2
14050,2
14051,2
14054,2
14060,2
14066,2
14068,2
14071,2
14072,2
14077,2
14079,2
14082,2
14088,2
14095,2
14100,2
14101,2
14117,2
14120,2
14121,2
14122,2
14123,2
14124,2
14126,2
14127,2
14128,2
14129,2
14130,2
14133,2
14134,2
14137,2
14139,2
14146,2
14149,2
14155,2
14157,2
14165,2
14166,2
14172,2
14173,2
14174,2
14176,2
14178,2
14179,2
14180,2
14183,2
14184,2
14187,2
14188,2
14193,2
14195,2
14219,2
14225,2
14231,2
14232,2
14236,2
14239,2
14251,2
14253,2
14257,2
14259,2
14260,2
14262,2
14264,2
14266,2
14267,2
14274,2
14279,2
14280,2
14283,2
14286,2
14290,2
14294,2
14296,2
14297,2
14299,2
14302,2
14306,2
14307,2
14309,2
14311,2
14317,2
14333,2
14335,2
14343,2
14345,2
14347,2
14349,2
14353,2
14355,2
14357,2
14364,2
14367,2
14368,2
14379,2
14384,2
14385,2
14386,2
14387,2
14388,2
14390,2
14392,2
14395,2
14396,2
14397,2
14399,2
14400,2
14402,2
14405,2
14406,2
14410,2
14411,2
14414,2
14415,2
14420,2
14421,2
14422,2
14424,2
14425,2
14426,2
14429,2
14431,2
14432,2
14437,2
14438,2
14440,2
14442,2
14443,2
14446,2
14447,2
14457,2
14465,2
13948,3
13949,3
13954,3
13958,3
13963,3
13964,3
13969,3
13972,3
13973,3
13989,3
13991,3
13992,3
13994,3
14005,3
14006,3
14007,3
14009,3
14015,3
14020,3
14026,3
14028,3
14031,3
14039,3
14040,3
14043,3
14053,3
14057,3
14059,3
14065,3
14067,3
14074,3
14075,3
14085,3
14094,3
14099,3
14102,3
14109,3
14111,3
14114,3
14119,3
14132,3
14144,3
14145,3
14154,3
14159,3
14160,3
14162,3
14168,3
14171,3
14175,3
14191,3
14198,3
14200,3
14206,3
14210,3
14215,3
14216,3
14218,3
14221,3
14227,3
14228,3
14235,3
14242,3
14243,3
14254,3
14255,3
14256,3
14269,3
14270,3
14276,3
14277,3
14282,3
14287,3
14288,3
14289,3
14293,3
14310,3
14314,3
14315,3
14316,3
14320,3
14322,3
14332,3
14336,3
14338,3
14346,3
14348,3
14350,3
14351,3
14352,3
14358,3
14359,3
14360,3
14362,3
14365,3
14369,3
14370,3
14372,3
14378,3
14381,3
14382,3
14383,3
14393,3
14394,3
14401,3
14403,3
14408,3
14409,3
14413,3
14416,3
14417,3
14419,3
14427,3
14428,3
14433,3
14434,3
14441,3
14449,3
14450,3
14451,3
14452,3
14454,3
14455,3
14456,3
14458,3
14459,3
14460,3
14461,3
14462,3
14463,3
14467,3
14468,3
14469,3
14471,3
14472,3
14473,3
14474,3
14476,3
14477,3
14478,3
14481,3
14482,3
14483,3
14484,3
14485,3
14486,3
14488,3
14489,3
14491,3
14500,3
14501,3
14502,3
14508,3
14515,3
