cpa_id,cluster
28064,1
28066,1
28069,1
28072,1
28077,1
28085,1
28086,1
28090,1
28091,1
28097,1
28098,1
28100,1
28102,1
28103,1
28105,1
28108,1
28110,1
28112,1
28114,1
28115,1
28118,1
28119,1
28120,1
28121,1
28122,1
28124,1
28125,1
28129,1
28130,1
28133,1
28138,1
28142,1
28143,1
33802,1
33920,1
33979,1
34051,1
34091,1
34143,1
34190,1
34362,1
34642,1
34981,1
35138,1
35247,1
35248,1
35373,1
35449,1
35623,1
35664,1
35718,1
35848,1
35875,1
35962,1
35988,1
36007,1
36112,1
36257,1
36304,1
36309,1
36329,1
36368,1
36375,1
36387,1
36460,1
36465,1
36469,1
36509,1
36526,1
36527,1
36532,1
36544,1
36637,1
36642,1
36676,1
36678,1
36691,1
36751,1
36794,1
36846,1
36933,1
28067,2
28071,2
28073,2
28074,2
28076,2
28078,2
28080,2
28081,2
28084,2
28089,2
28094,2
28095,2
28096,2
28099,2
28104,2
28107,2
28109,2
28111,2
28116,2
28123,2
28126,2
28127,2
28128,2
28131,2
28132,2
28134,2
28136,2
28137,2
28139,2
28140,2
28141,2
28144,2
34133,2
34280,2
34485,2
34552,2
34661,2
34756,2
34787,2
35161,2
35296,2
35332,2
35367,2
35459,2
35683,2
35687,2
35916,2
36036,2
36123,2
36130,2
36132,2
36137,2
36221,2
36255,2
36256,2
36280,2
36380,2
36457,2
36480,2
36487,2
36554,2
36614,2
36624,2
36639,2
36641,2
36664,2
36731,2
36734,2
36740,2
36753,2
36762,2
36825,2
36838,2
36873,2
36881,2
36885,2
36910,2
36911,2
36938,2
36953,2
36957,2
36977,2
36982,2
36988,2
36990,2
28065,3
28068,3
28082,3
28083,3
28087,3
28088,3
28092,3
28093,3
28101,3
28106,3
28113,3
28117,3
28135,3
33803,3
34148,3
34191,3
34212,3
34563,3
34579,3
34617,3
34849,3
34855,3
34885,3
34946,3
35088,3
35218,3
35234,3
35341,3
35391,3
35392,3
35609,3
35715,3
35736,3
36117,3
36229,3
36321,3
36371,3
36382,3
36398,3
36435,3
36452,3
36478,3
36534,3
36536,3
36602,3
36646,3
36666,3
36670,3
36688,3
36693,3
36733,3
36749,3
36756,3
36803,3
36807,3
36813,3
36819,3
36823,3
36831,3
36841,3
36842,3
36843,3
36847,3
36860,3
36878,3
36890,3
36891,3
36898,3
36907,3
36914,3
36927,3
36941,3
36942,3
36950,3
36955,3
36966,3
36967,3
36969,3
36970,3
36973,3
36981,3
36993,3
